feature,score
Gene_306,1.0
Gene_387700,1.0
Gene_4360,1.0
Gene_8840,1.0
Gene_3561,1.0
Gene_2919,1.0
Gene_440738,1.0
Gene_8875,1.0
Gene_247,1.0
Gene_100505875,1.0
Gene_688,1.0
Gene_6526,1.0
Gene_137835,1.0
Gene_168090,1.0
Gene_56245,1.0
Gene_4792,1.0
Gene_4318,1.0
Gene_3606,1.0
Gene_1645,1.0
Gene_4958,1.0
Gene_8515,0.98
Gene_7100,0.96
Gene_4071,0.94
Gene_54716,0.92
Gene_2297,0.88
Gene_5549,0.88
Gene_79689,0.82
Gene_4223,0.82
Gene_101928034,0.82
Gene_9332,0.7
Gene_7475,0.44
Gene_27286,0.34
Gene_9976,0.22
Gene_5552,0.12
Gene_10205,0.1
Gene_2192,0.04
Gene_493869,0.02
